Report generated on: 04-21-2023 18:23:46
"API","","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022"
"","GDP at purchasing power parities (Billion 2015$ PPP)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"INTL.4701-34-CYM-BDOLPPP.A","        Cayman Islands","0.000001","0.000001","0.000001","0.000001","0.000001","0.000001","0.000001","0.000001","1.235949","1.345204","1.522744","1.543229","1.590687","1.666824","1.755252","1.839583","1.931426","2.037608","2.654559","2.744415","2.771282","2.786708","2.834785","2.891477","2.917443","3.106926","3.249874","3.276904","3.340672","3.100128","3.015939","3.051198","3.08872","3.128235","3.211275","3.302254","3.409247","3.517799","3.665347","3.805257","3.588369","3.652774","3.755612"
"INTL.4701-34-CAF-BDOLPPP.A","        Central African Republic","0.000001","0.000001","0.000001","0.000001","0.000001","0.000001","0.000001","0.000001","0.000001","0.000001","3.391928","3.431948","3.386276","3.374479","3.549156","3.732046","3.450345","3.661533","3.828229","4.055554","4.133497","4.159557","4.134185","3.842655","3.949026","4.043082","4.235289","4.406021","4.521149","4.648288","4.863542","5.067549","5.32365","3.386269","3.389014","3.536","3.703971","3.87166","4.018375","4.137731","4.177849","4.215907","4.279735"
"INTL.4701-34-TCD-BDOLPPP.A","        Chad","0.000001","0.000001","0.000001","0.000001","0.000001","0.000001","0.000001","0.000001","5.805094","5.918408","6.107916","6.743263","6.904561","6.761362","7.132831","7.077551","7.227244","7.635796","8.16664","8.110861","8.039483","8.976729","9.738942","11.17271","14.92998","16.17081","16.2756","16.80813","17.32297","18.03997","20.49304","20.51763","22.32462","23.60895","25.23632","25.683","24.25554","23.67826","24.23588","25.06451","24.52386","24.25067","24.60499"
"INTL.4701-34-CHL-BDOLPPP.A","        Chile","80.21397","83.99084","75.29584","72.47548","78.27748","83.84627","88.53681","94.26196","101.1254","112.0639","116.3129","125.4206","140.5253","150.2449","158.7846","175.8257","187.3202","201.4303","209.8528","208.8934","220.0857","227.1328","233.9119","244.646","260.3688","275.9635","293.4797","308.9671","319.4329","316.2146","334.6857","355.1882","378.0301","390.0527","396.8059","405.31","412.0042","418.5155","435.3794","438.4558","411.2175","459.9588","472.8839"
"INTL.4701-34-CHN-BDOLPPP.A","        China","684.6354","719.5518","784.3114","869.0172","1001.108","1135.256","1236.294","1380.94","1535.606","1600.101","1662.505","1817.118","2076.522","2364.869","2673.03","2966.324","3260.779","3562.353","3842.259","4137.477","4487.936","4861.426","5304.5","5836.406","6426.58","7158.585","8068.242","9217.408","10101.74","11055.19","12228.82","13396.89","14448.46","15571.3","16722.23","17895.86","19121.78","20444.71","21822.09","23128.29","23639.96","25638.04","26404.38"
"INTL.4701-34-COL-BDOLPPP.A","        Colombia","0.000001","0.000001","0.000001","0.000001","0.000001","0.000001","0.000001","0.000001","240.291","249.4577","259.781","266.8661","278.1063","293.9809","306.7397","322.6976","329.3318","340.6289","342.5698","328.1681","338.4934","344.1731","352.7913","366.6145","386.166","403.339","430.4308","459.4341","474.5193","479.9272","501.4982","536.3418","557.3269","585.9401","612.3009","630.3999","643.5596","652.3071","669.0352","690.3563","640.2896","710.8252","764.1078"
"INTL.4701-34-COM-BDOLPPP.A","        Comoros","0.000001","0.000001","0.000001","0.000001","0.000001","0.000001","0.000001","0.000001","1.134056","1.09799","1.153892","1.091632","1.184759","1.220373","1.155976","1.19771","1.182239","1.229885","1.245659","1.26963","1.407359","1.440191","1.473674","1.504678","1.533563","1.577079","1.618823","1.631775","1.696468","1.751446","1.817612","1.892925","1.9529","2.040122","2.0831","2.107","2.176963","2.26003","2.342351","2.383594","2.376609","2.432407","2.500722"
"INTL.4701-34-COG-BDOLPPP.A","        Congo-Brazzaville","0.000001","0.000001","0.000001","0.000001","0.000001","0.000001","0.000001","0.000001","9.898133","10.0728","10.17387","10.41758","10.68968","10.58495","10.00351","10.40218","11.06709","10.79739","11.18592","10.89486","11.71998","12.16647","12.72402","12.82682","13.28478","14.30065","16.16644","15.0972","16.04928","17.91698","19.69637","20.13085","22.1333","21.97562","23.2843","22.531","20.23501","19.2975","18.10028","18.02224","16.54997","16.11972","16.74839"
"INTL.4701-34-COD-BDOLPPP.A","        Congo-Kinshasa","0.000001","0.000001","0.000001","0.000001","0.000001","0.000001","0.000001","0.000001","58.03502","57.30027","53.53661","49.02827","43.88029","37.97004","36.4892","36.74463","36.36866","34.32582","33.76832","32.32636","30.09231","29.46032","30.32874","32.02043","34.17808","36.27496","38.20514","40.59658","43.12409","44.3553","47.50807","50.77409","54.3724","58.98425","64.57022","69.03601","70.69246","73.32713","77.59559","80.9978","82.40345","87.51259","93.90101"
"INTL.4701-34-COK-BDOLPPP.A","        Cook Islands","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
